id,Q.SuraID,Q.VerseID,Q.Text,B.BookName,B.BookID,B.ChapterID,B.VerseID,B.Text,is_similar
1,2,163,Your Deity is Allah alone: there is no deity save the All-Beneficent and All-Merciful Allah.,Mark,41,12,29,"Jesus answered, ""The greatest is, 'Hear, Israel, the Lord our God, the Lord is one:",1
2,2,163,Your Deity is Allah alone: there is no deity save the All-Beneficent and All-Merciful Allah.,Deuteronomy,5,6,4,"Hear, Israel: Yahweh is our God; Yahweh is one:",1
3,2,165,there are people who set up equals and rivals with Allah and adore them with the adoration due to Allah. whereas the Believers adore Allah most ardently. ,Mark,41,12,30,"you shall adore the Lord your God with all your heart, and with all your soul, and with all your mind, and with all your strength.' ",1
4,2,183,"O Believers, the Fast has been made obligatory on you just as it was prescribed for the followers of the Prophets before you. It is expected that this will produce piety in you.",Matthew,40,9,14,"Then John's disciples came to him, saying, ""Why do we and the Pharisees fast often, but your disciples do not fast?""",1
5,2,183,"O Believers, the Fast has been made obligatory on you just as it was prescribed for the followers of the Prophets before you. It is expected that this will produce piety in you.",Luke,42,2,37,"and she had been a widow for about eighty-four years), who didn't depart from the temple, worshipping with fastings and petitions night and day.",1
6,2,219,"They ask you about drinking and gambling. Say, ""There is great harm in both, though there is some benefit also for the people. But the harm of the sin thereof is far greater than their benefit. """,Luke,42,3,11,"He answered them, ""He who has two coats, let him give to him who has none. He who has food, let him do likewise.""",1
7,2,224,"Do not use Allah's name for such oaths which are taken to keep back from virtue, piety and the welfare of mankind:",Exodus,2,20,7,"""You shall not take the name of Yahweh your God in vain, for Yahweh will not hold him guiltless who takes his name in vain.",1
8,2,64,But even after that you forsook the Covenant: nevertheless Allah did not withhold His grace and mercy from you; otherwise you would have been utterly ruined long before this.,Geneses,1,2,21,"Yahweh God caused a deep sleep to fall on the man, and he slept; and he took one of his ribs, and closed up the flesh in its place.",0
9,2,100,"Has it not always been so that every time they made a covenant, some of them set it aside? Nay, most of them never believe in it sincerely.",Geneses,1,17,15,"God said to Abraham, ""As for Sarai your wife, you shall not call her name Sarai, but her name will be Sarah.",0
10,3,39,"As he stood praying in the sanctuary, the angels called out to him: Allah gives you good tidings of John (Yahya), who shall confirm a command of Allah, shall be outstanding among men, utterly chaste, and a Prophet from among the righteous.'",Luke,42,1,13,"But the angel said to him, ""Don't be afraid, Zechariah, because your request has been heard, and your wife, Elizabeth, will bear you a son, and you shall call his name John.",1
11,3,176,Let not those who run towards disbelief grieve you; they shall not hurt Allah in the least. Allah will not provide for them any share in the Next Life. A mighty punishment awaits them.,Leviticus,3,27,33,"He shall not search whether it is good or bad, neither shall he change it: and if he changes it at all, then both it and that for which it is changed shall be holy. It shall not be redeemed.'""",0
12,5,3,"Forbidden to you are carrion, blood, the flesh of pig, the animal slaughtered in any name other than Allah's",Deuteronomy,5,14,8,"The pig, because it has a split hoof but doesn't chew the cud, is unclean to you: of their flesh you shall not eat, and their carcasses you shall not touch.",1
13,5,38,As for the thief -male or female - cut off the hands of both.,Exodus,2,20,15,"""You shall not steal.",1
14,5,35,"Believers! Fear Allah and seek the means to come near to Him, and strive hard in His way; maybe you will attain true success.",Exodus,2,40,38,"For the cloud of Yahweh was on the tent by day, and there was fire in the cloud by night, in the sight of all the house of Israel, throughout all their journeys.",0
15,6,61,And He alone holds sway over His servants and sets angels over you till death approaches any of you and Our deputed angels take his soul,Exodus,2,23,20,"""Behold, I send an angel before you, to keep you by the way, and to bring you into the place which I have prepared.",1
16,7,183,And (for this purpose) I will grant them respite. My design is incontrovertible.,Numbers,4,7,77,"and for the sacrifice of peace offerings, two oxen, five rams, five male goats, and five male lambs a year old. This was the offering of Pagiel the son of Ochran.",0
17,8,4,"Such people are indeed true believers. They have high ranks with their Lord, and forgiveness for their sins and an honourable sustenance.",Deuteronomy,5,24,13,"you shall surely restore to him the pledge when the sun goes down, that he may sleep in his garment, and bless you: and it shall be righteousness to you before Yahweh your God.",0
18,10,84,Moses said: 'My people! If you believe in Allah and are truly Muslims then place your reliance on Him alone.',Joshua,6,21,32,"Out of the tribe of Naphtali, Kedesh in Galilee with its suburbs, the city of refuge for the manslayer, and Hammothdor with its suburbs, and Kartan with its suburbs; three cities.",0
19,16,69,"then suck the juice of every kind of fruit and keep treading the ways of your Lord which have been made easy."" There comes forth from their bellies a drink varied in colours, wherein there is healing for men. Verily there is a sign in this for those who reflect.",Judges,7,7,4,"Yahweh said to Gideon, The people are yet too many; bring them down to the water, and I will try them for you there: and it shall be, that of whom I tell you, This shall go with you, the same shall go with you; and of whoever I tell you, This shall not go with you, the same shall not go.",0
20,17,32,"Do not even approach fornication for it is an outrageous act, and an evil way.",Deuteronomy,5,5,18,"""Neither shall you commit fornication.",1
21,18,21,"Thus did We make their case known to the people of the city so that they might know that Allah's promise is true, and that there is absolutely no doubt that the Hour will come to pass. But instead of giving thought to this, they disputed with one another concerning the People of the Cave, some saying: ""Build a wall over them. Their Lord alone knows best about them."" But those who prevailed over their affairs said: ""We shall build a place of worship over them.""",1Samuel,9,4,14,"When Eli heard the noise of the crying, he said, What means the noise of this tumult? The man hurried, and came and told Eli.",0
22,19,55,He enjoined his household to observe Prayer and to give Zakah (purifying alms); and his Lord was well pleased with him.,Acts,44,10,2,"a devout man, and one who feared God with all his house, who gave charity for the needy generously to the people, and always prayed to God.",1
23,19,55,He enjoined his household to observe Prayer and to give Zakah (purifying alms); and his Lord was well pleased with him.,1Timothy,54,5,8,"But if anyone doesn't provide charity for his own, and especially his own household, he has denied the faith, and is worse than an unbeliever.",1
24,19,7,"(He was told): ""Zechariah, We bring you the good news of the birth of a son whose name shall be Yahya (John), one whose namesake We never created before.""",,42,1,13,"But the angel said to him, ""Don't be afraid, Zechariah, because your request has been heard, and your wife, Elizabeth, will bear you a son, and you shall call his name John.",1
25,19,8,"Zechariah said: ""My Lord! How can I have a boy when my wife is barren and I have reached an extremely old age?""",Luke,42,1,7,"But Zechariah had no child, because his wife Elizabeth was barren, and they both were well advanced in years.",1
26,20,14,Verily I am Allah. There is no god beside Me. So serve Me and establish Prayers to remember Me.,Matthew,40,26,36,"Then Jesus said to his disciples, ""Sit here, while I go there and pray.""",1
27,20,14,Verily I am Allah. There is no god beside Me. So serve Me and establish Prayers to remember Me.,Mark,41,1,35,"he rose up and went out, and departed into a deserted place, and prayed there.",1
28,20,70,"Eventually the magicians were impelled to fall down prostrate and said: ""We believe in the Lord of Moses and Aaron.""",2Samuel,10,4,10,"when one told me, saying, Behold, Saul is dead, thinking to have brought good news, I took hold of him, and killed him in Ziklag, which was the reward I gave him for his news.",0
29,21,28,"He knows whatever is before them and whatsoever is remote from them and they do not intercede except for him, intercession on whose behalf pleases Him, and they stand constantly in awe of Him.",1Kings,11,1,38,"So Zadok the priest, and Nathan the prophet, and Benaiah the son of Jehoiada, and the Cherethites and the Pelethites, went down, and caused Solomon to ride on king David's mule, and brought him to Gihon.",0
30,21,111,"I think that this [reprieve] is possibly a trial for you, an opportunity to enjoy yourselves until an appointed time.""",2Kings,12,8,19,"However Yahweh would not destroy Judah, for David his servant's sake, as he promised him to give to him a lamp for his children always.",0
31,23,93,"Pray, (O Muhammad): ""My Lord, if You should bring the scourge of which they had been warned in my presence,",1Chronicles,13,4,27,"Shimei had sixteen sons and six daughters; but his brothers didn't have many children, neither did all their family multiply like the children of Judah.",0
32,26,14,"As for me, they hold the charge of a crime against me. I fear they will put me to death.""",1Chronicles,13,11,8,"He built the city round about, from Millo even round about; and Joab repaired the rest of the city.",0
33,27,37,"Envoy, go back to those who sent you and we shall certainly come upon them with hosts whom they will be unable to resist. We shall drive them out from there, and they will suffer humiliation and disgrace.""",2Chronicles,14,23,14,"Jehoiada the priest brought out the captains of hundreds who were set over the host, and said to them, Have her forth between the ranks; and whoever follows her, let him be slain with the sword: for the priest said, Don't kill her in the house of Yahweh.",0
34,27,58,And We rained down upon them a rain. It was an evil rain for those who had already been warned.,2Chronicles,14,29,8,"Therefore the wrath of Yahweh was on Judah and Jerusalem, and he has delivered them to be tossed back and forth, to be an astonishment, and a hissing, as you see with your eyes.",0
35,29,58,"We shall house those who believed and acted righteously in the lofty mansions of Paradise beneath which rivers flow. There they shall remain for ever. How excellent a reward it is for those who acted (in obedience to Allah),",Nehemiah,16,7,61,"These were those who went up from Tel-melah, Tel Harsha, Cherub, Addon, and Immer; but they could not show their fathers' houses, nor their seed, whether they were of Israel:",0
36,32,15,"None believes in Our Signs except those who, when they are given good counsel through Our verses, fall down prostrate and celebrate the praise of their Lord and do not wax proud.",Matthew,40,26,39,"He went forward a little, fall down on his face, and prayed",1
37,33,59,"O Prophet, enjoin your wives and your daughters and the believing women, to draw a part of their outer coverings around them. It is likelier that they will be recognised and not molested. Allah is Most Forgiving, Most Merciful.",1Corinthians,46,11,10,"For this cause the woman should have cover on her head, because of the angels.",1
38,33,59,"O Prophet, enjoin your wives and your daughters and the believing women, to draw a part of their outer coverings around them. It is likelier that they will be recognised and not molested. Allah is Most Forgiving, Most Merciful.",1Corinthians,46,11,6,"For if a woman is not covered, let her also be shorn. But if it is shameful for a woman to be shorn or shaved, let her be covered.",1
39,33,19,"They are utterly niggardly (in coming to your aid). Whenever there is danger, you will see them looking at you, their eyes rolling as though they were on the verge of fainting at the approach of death. But when the danger passes away, their greed for wealth prompts them to greet you with their sharp, scissor-like tongues. These are the ones who never truly believed, and so Allah has caused their deeds to be reduced to naught. That is easy enough for Allah.",Esther,17,1,9,Also Vashti the queen made a feast for the women in the royal house which belonged to king Ahasuerus.,0
40,36,37,And the night is another Sign for them. We strip the day from it and they become plunged in darkness.,Job,18,13,9,"Is it good that he should search you out? Or as one deceives a man, will you deceive him?",0
41,37,127,"But they denounced him as a liar, so they will surely be arraigned (for punishment),",Job,18,21,8,"Their child is established with them in their sight, Their offspring before their eyes.",0
42,38,22,"As they came upon David -- and he was frightened of them -- they said: Be not afraid. We are just two litigants: one of us has committed excess against the other. So judge rightly between us, and be not unjust; and guide us to the Right Way.",Psalms,19,18,15,"Then the channels of waters appeared, The foundations of the world were laid bare at your rebuke, Yahweh, At the blast of the breath of your nostrils.",0
43,39,16,"There shall be sheets of fire above them and beneath them. This is the end against which Allah warns His servants. So dread My wrath, O you servants of Mine!",Psalms,19,63,11,"But the king shall rejoice in God. Everyone who swears by him will praise him, For the mouth of those who speak lies shall be silenced.",0
44,39,30,"(O Prophet), you are destined to die and they too are destined to die.",Psalms,19,138,2,"I will bow down toward your holy temple, And give thanks to your Name for your loving kindness and for your truth; For you have exalted your Name and your Word above all.",0
45,40,23,Verily We sent Moses with Our Signs and a clear authority,Proverbs,20,7,23,"Until an arrow strikes through his liver, As a bird hurries to the snare, And doesn't know that it will cost his life.",0
46,41,29,"There the unbelievers will say: Our Lord, show us those that led us astray, both jinn and humans, and we will trample them under our feet so that they are utterly degraded.",Proverbs,20,24,12,"If you say, ""Behold, we didn't know this;"" Doesn't he who weighs the hearts consider it? He who keeps your soul, doesn't he know it? Shall he not render to every man according to his work?",0
47,42,5,The heavens may well nigh rend asunder from above while the angels proclaim the praise of their Lord and ask forgiveness for those on earth.,Luke,42,15,10,"Even so, I tell you, there is joy in the presence of the angels of God over one sinner repenting.""",1
48,42,9,(Are they so foolish that) they have chosen others rather than Allah as their protectors? Yet it is Allah Who is the Protector and Who resurrects the dead and Who has power over everything.,Ecclesiastes,21,9,14,"There was a little city, and few men within it; and a great king came against it, besieged it, and built great bulwarks against it.",0
49,42,47,"Accept the command of your Lord before there comes a Day from Allah that cannot be averted. On that Day there shall be no shelter for you, and none may change your predicament.",Isaiah,23,1,11,"""What are the multitude of your sacrifices to me?,"" says Yahweh. ""I have had enough of the burnt offerings of rams, And the fat of fed animals. I don't delight in the blood of bulls, Or of lambs, Or of male goats.",0
50,43,84,"He it is Who is God in the heavens and the earth. He is the Most Wise, the All-Knowing.",Isaiah,23,9,12,"the Syrians before, and the Philistines behind; and they shall devour Israel with open mouth. For all this his anger is not turned away, but his hand is stretched out still.",0
51,44,16,"The Day when We shall seize them with a mighty seizing, that will be the Day on which We shall inflict upon you full retribution.",Jeremiah,24,18,20,"Shall evil be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.",0
52,45,9,"Whenever he comes to know anything of Our Signs, he makes them an object of jest. For such there awaits a humiliating chastisement.",Ezekiel,26,11,2,"He said to me, Son of man, these are the men who devise iniquity, and who give wicked counsel in this city;",0
53,50,38,"We created the heavens and the earth and all that is between them in six days, and weariness did not even touch Us.",,2,31,17,"for in six days Yahweh made heaven and earth, and on the seventh day he rested, and was refreshed.",1
54,50,7,"and We have spread out the earth, and have set upon it firm mountains, and have caused it to bring out plants of all beauteous kinds?",Ezekiel,26,25,10,"to the children of the east, [to go] against the children of Ammon; and I will give them for a possession, that the children of Ammon may not be remembered among the nations.",0
55,52,26,They will say: When we were living before among our kinsfolk we lived in constant fear (of Allah's displeasure).,Daniel,27,11,27,"As for both these kings, their hearts shall be to do mischief, and they shall speak lies at one table: but it shall not prosper; for yet the end shall be at the time appointed.",0
56,54,29,"Eventually, they summoned their companion, and he undertook the (outrageous) task and hamstrung the she-camel.",Hosea,28,13,13,"The sorrows of a travailing woman will come on him. He is an unwise son; For when it is time, he doesn't come to the opening of the womb.",0
57,55,56,"In the midst of these shall be maidens with modest, restrained glances; maidens whom no man or jinn has ever touched before.",Amos,30,6,6,"Who drink wine in bowls, And anoint themselves with the best oils; But they are not grieved for the affliction of Joseph.",0
58,56,82,and your portion in it is simply that you denounce it as false?,Zechariah,38,10,6,"""I will strengthen the house of Judah, And I will save the house of Joseph, And I will bring them back; For I have mercy on them; And they will be as though I had not cast them off: For I am Yahweh their God, and I will hear them.",0
59,57,22,"No misfortune ever befalls on earth, nor on yourselves but We have inscribed it in the Book before We make it manifest. Surely that is easy for Allah.",John,43,1,3,All things were made through him. Without him was not anything made that has been made.,1
60,57,2,"His is the dominion of the heavens and the earth. He gives life and causes death, and He has power over everything.",Matthew,40,2,6,"'You Bethlehem, land of Judah, Are in no way least among the princes of Judah: For out of you shall come forth a governor, Who shall shepherd my people, Israel.'""",0
61,57,20,"Know well that the life of this world is merely sport and diversion and adornment and an object of your boasting with one another, and a rivalry in the multiplication of riches and children. Its likeness is that of rain: when it produces vegetation it delights the tillers. But then it withers and you see it turn yellow, and then it crumbles away. In the Hereafter there is (either) grievous chastisement (or) forgiveness from Allah and (His) good pleasure. The life of this world is nothing but delusion.",Matthew,40,21,2,"saying to them, ""Go into the village that is opposite you, and immediately you will find a donkey tied, and a colt with her. Untie them, and bring them to me.",0
62,58,1,"Allah has surely heard the words of her who contends with you concerning her husband and complains to Allah. Allah hears what both of you say. Verily Allah is All- Hearing, All-Seeing.",Mark,41,3,28,"Most assuredly I tell you, all of the children of men's sins will be forgiven them, including their blasphemies with which they may blaspheme;",0
63,70,4,by which the angels and the Spirit ascend to Him in one Day the duration of which is fifty thousand years.,Acts,44,8,27,"He arose and went; and behold, there was a man of Ethiopia, a eunuch of great authority under Candace, queen of the Ethiopians, who was over all her treasure, who had come to Jerusalem to worship.",0
64,71,23,"They said: Do not abandon your deities; do not abandon Wadd, nor Suwa, nor Yaghuth, nor Yauq, nor Nasr.",John,43,18,39,"But you have a custom, that I should release someone to you at the Passover. Therefore do you want me to release to you the King of the Jews?""",0
65,86,4,There is no living being but there is a protector over it.,Revelation,66,7,11,"All the protectors were standing around the throne, the elders, and the four living creatures",1
66,112,1,"Say: He is Allah, the One and Unique;",Deuteronomy,5,6,4,"Hear, Israel: Yahweh is our God; Yahweh is one:",1
